"","pmid","title","nodeA","edge","nodeB","context","nodeA_normalized","edge_normalized","nodeB_normalized","context_normalized"
"4273","36463391","m6A 'writer' KIAA1429 regulates the proliferation and migration of endothelial cells in atherosclerosis.","KIAA1429","regulate","Proliferation","Endothelial Cells in Atherosclerosis","VIRMA","AFFECTS","cell population proliferation","Endothelial Cells in Atherosclerosis"
"4274","36463391","m6A 'writer' KIAA1429 regulates the proliferation and migration of endothelial cells in atherosclerosis.","KIAA1429","regulate","Migration","Endothelial Cells in Atherosclerosis","VIRMA","AFFECTS","migration","Endothelial Cells in Atherosclerosis"
"4276","36468944","The long non-coding RNA MEG3 inhibits oral squamous cell carcinoma progression via GATA3.","MEG3","inhibit","Oral Squamous Cell Carcinoma Progression","Oral Squamous Cell Carcinoma","MEG3","INHIBITS","Oral Squamous Cell Carcinoma Progression","HNSC(Head and Neck Squamous Cell Carcinoma)"
"4277","36468944","The long non-coding RNA MEG3 inhibits oral squamous cell carcinoma progression via GATA3.","MEG3","regulate","GATA3","Oral Squamous Cell Carcinoma","MEG3","AFFECTS","GATA3","HNSC(Head and Neck Squamous Cell Carcinoma)"
"4278","36468944","The long non-coding RNA MEG3 inhibits oral squamous cell carcinoma progression via GATA3.","GATA3","inhibit","Oral Squamous Cell Carcinoma Progression","Oral Squamous Cell Carcinoma","GATA3","INHIBITS","Oral Squamous Cell Carcinoma Progression","HNSC(Head and Neck Squamous Cell Carcinoma)"
"4280","36471428","A functional loop between YTH domain family protein YTHDF3 mediated m6A modification and phosphofructokinase PFKL in glycolysis of hepatocellular carcinoma.","YTHDF3","mediate","m6A modification","Hepatocellular Carcinoma","YTHDF3","AFFECTS","m6A","LIHC(Liver Hepatocellular Carcinoma)"
"4281","36471428","A functional loop between YTH domain family protein YTHDF3 mediated m6A modification and phosphofructokinase PFKL in glycolysis of hepatocellular carcinoma.","m6A modification","regulate","PFKL","Hepatocellular Carcinoma","m6A","AFFECTS","PFKL","LIHC(Liver Hepatocellular Carcinoma)"
"4282","36471428","A functional loop between YTH domain family protein YTHDF3 mediated m6A modification and phosphofructokinase PFKL in glycolysis of hepatocellular carcinoma.","PFKL","participate in","glycolysis","Hepatocellular Carcinoma","PFKL","participate in","glycolytic process","LIHC(Liver Hepatocellular Carcinoma)"
"4283","36471428","A functional loop between YTH domain family protein YTHDF3 mediated m6A modification and phosphofructokinase PFKL in glycolysis of hepatocellular carcinoma.","glycolysis","regulate","YTHDF3","Hepatocellular Carcinoma","glycolytic process","AFFECTS","YTHDF3","LIHC(Liver Hepatocellular Carcinoma)"
"4285","36473908","Targeting SLP2-mediated lipid metabolism reprograming restricts proliferation and metastasis of hepatocellular carcinoma and promotes sensitivity to Lenvatinib.","SLP2","mediate","Lipid Metabolism","Hepatocellular Carcinoma","STOML2","AFFECTS","Lipid Metabolism","LIHC(Liver Hepatocellular Carcinoma)"
"4286","36473908","Targeting SLP2-mediated lipid metabolism reprograming restricts proliferation and metastasis of hepatocellular carcinoma and promotes sensitivity to Lenvatinib.","Lipid Metabolism","restrict","Proliferation","Hepatocellular Carcinoma","Lipid Metabolism","INHIBITS","cell population proliferation","LIHC(Liver Hepatocellular Carcinoma)"
"4287","36473908","Targeting SLP2-mediated lipid metabolism reprograming restricts proliferation and metastasis of hepatocellular carcinoma and promotes sensitivity to Lenvatinib.","Lipid Metabolism","restrict","Metastasis","Hepatocellular Carcinoma","Lipid Metabolism","INHIBITS","Neoplasm Metastasis","LIHC(Liver Hepatocellular Carcinoma)"
"4288","36473908","Targeting SLP2-mediated lipid metabolism reprograming restricts proliferation and metastasis of hepatocellular carcinoma and promotes sensitivity to Lenvatinib.","Lipid Metabolism","promote sensitivity","Lenvatinib","Hepatocellular Carcinoma","Lipid Metabolism","promote sensitivity","lenvatinib","LIHC(Liver Hepatocellular Carcinoma)"
"4289","36473908","Targeting SLP2-mediated lipid metabolism reprograming restricts proliferation and metastasis of hepatocellular carcinoma and promotes sensitivity to Lenvatinib.","Proliferation","contribute","Hepatocellular Carcinoma","Hepatocellular Carcinoma","cell population proliferation","AFFECTS","hepatocellular carcinoma","LIHC(Liver Hepatocellular Carcinoma)"
"4290","36473908","Targeting SLP2-mediated lipid metabolism reprograming restricts proliferation and metastasis of hepatocellular carcinoma and promotes sensitivity to Lenvatinib.","Metastasis","contribute","Hepatocellular Carcinoma","Hepatocellular Carcinoma","Neoplasm Metastasis","AFFECTS","hepatocellular carcinoma","LIHC(Liver Hepatocellular Carcinoma)"
"4292","36476503","METTL3 promotes glycolysis and cholangiocarcinoma progression by mediating the m6A modification of AKR1B10.","METTL3","promote","glycolysis","Cholangiocarcinoma","METTL3","STIMULATES","glycolytic process","CHOL(Cholangiocarcinoma)"
"4293","36476503","METTL3 promotes glycolysis and cholangiocarcinoma progression by mediating the m6A modification of AKR1B10.","METTL3","promote","cholangiocarcinoma progression","Cholangiocarcinoma","METTL3","STIMULATES","Choriocarcinoma progression","CHOL(Cholangiocarcinoma)"
"4294","36476503","METTL3 promotes glycolysis and cholangiocarcinoma progression by mediating the m6A modification of AKR1B10.","METTL3","mediate","m6A","Cholangiocarcinoma","METTL3","AFFECTS","m6A","CHOL(Cholangiocarcinoma)"
"4295","36476503","METTL3 promotes glycolysis and cholangiocarcinoma progression by mediating the m6A modification of AKR1B10.","m6A","is on","AKR1B10","Cholangiocarcinoma","m6A","LOCATES","AKR1B10","CHOL(Cholangiocarcinoma)"
"4296","36476503","METTL3 promotes glycolysis and cholangiocarcinoma progression by mediating the m6A modification of AKR1B10.","AKR1B10","regulate","glycolysis","Cholangiocarcinoma","AKR1B10","AFFECTS","glycolytic process","CHOL(Cholangiocarcinoma)"
"4297","36476503","METTL3 promotes glycolysis and cholangiocarcinoma progression by mediating the m6A modification of AKR1B10.","AKR1B10","regulate","cholangiocarcinoma progression","Cholangiocarcinoma","AKR1B10","AFFECTS","Choriocarcinoma progression","CHOL(Cholangiocarcinoma)"
"4299","36478193","Silencing of IRF8 Mediated by m6A Modification Promotes the Progression of T-Cell Acute Lymphoblastic Leukemia.","m6A Modification","mediate","IRF8","T-Cell Acute Lymphoblastic Leukemia","m6A","AFFECTS","IRF8","LAML(Acute Myeloid Leukemia)"
"4300","36478193","Silencing of IRF8 Mediated by m6A Modification Promotes the Progression of T-Cell Acute Lymphoblastic Leukemia.","IRF8","promote","Progression","T-Cell Acute Lymphoblastic Leukemia","IRF8","STIMULATES","progression","LAML(Acute Myeloid Leukemia)"
"4302","36484103","m6 A Reader YTHDF1-targeting Engineered Small Extracellular Vesicles for Gastric Cancer Therapy Via Epigenetic and Immune Regulation.","YTHDF1","target","Engineered Small Extracellular Vesicles","Gastric Cancer","YTHDF1","INTERACTS_WITH","Engineered Small Extracellular Vesicles","STAD(Stomach adenocarcinoma)"
"4303","36484103","m6 A Reader YTHDF1-targeting Engineered Small Extracellular Vesicles for Gastric Cancer Therapy Via Epigenetic and Immune Regulation.","Engineered Small Extracellular Vesicles","used for","Gastric Cancer Therapy","Gastric Cancer","Engineered Small Extracellular Vesicles","USES","Gastric Cancer Therapy","STAD(Stomach adenocarcinoma)"
"4304","36484103","m6 A Reader YTHDF1-targeting Engineered Small Extracellular Vesicles for Gastric Cancer Therapy Via Epigenetic and Immune Regulation.","Engineered Small Extracellular Vesicles","regulate","Epigenetic Regulation","Gastric Cancer","Engineered Small Extracellular Vesicles","AFFECTS","epigenetic regulation","STAD(Stomach adenocarcinoma)"
"4305","36484103","m6 A Reader YTHDF1-targeting Engineered Small Extracellular Vesicles for Gastric Cancer Therapy Via Epigenetic and Immune Regulation.","Engineered Small Extracellular Vesicles","regulate","Immune Regulation","Gastric Cancer","Engineered Small Extracellular Vesicles","AFFECTS","Immune Regulation","STAD(Stomach adenocarcinoma)"
"4306","36484103","m6 A Reader YTHDF1-targeting Engineered Small Extracellular Vesicles for Gastric Cancer Therapy Via Epigenetic and Immune Regulation.","Epigenetic Regulation","regulate","Gastric Cancer Therapy","Gastric Cancer","epigenetic regulation","AFFECTS","Gastric Cancer Therapy","STAD(Stomach adenocarcinoma)"
"4307","36484103","m6 A Reader YTHDF1-targeting Engineered Small Extracellular Vesicles for Gastric Cancer Therapy Via Epigenetic and Immune Regulation.","Immune Regulation","regulate","Gastric Cancer Therapy","Gastric Cancer","Immune Regulation","AFFECTS","Gastric Cancer Therapy","STAD(Stomach adenocarcinoma)"
"4309","36484368","N6-methyladenosine-induced long non-coding RNA PVT1 regulates the miR-27b-3p/BLM axis to promote prostate cancer progression.","N6-methyladenosine","induce","PVT1","Prostate Cancer","m6A","CAUSES","PVT1","PRAD(Prostate Adenocarcinoma)"
"4310","36484368","N6-methyladenosine-induced long non-coding RNA PVT1 regulates the miR-27b-3p/BLM axis to promote prostate cancer progression.","PVT1","regulate","miR-27b-3p/BLM axis","Prostate Cancer","PVT1","AFFECTS","miR-27b-3p/BLM axis","PRAD(Prostate Adenocarcinoma)"
"4311","36484368","N6-methyladenosine-induced long non-coding RNA PVT1 regulates the miR-27b-3p/BLM axis to promote prostate cancer progression.","miR-27b-3p/BLM axis","promote","Prostate Cancer Progression","Prostate Cancer","miR-27b-3p/BLM axis","STIMULATES","Prostate Cancer Progression","PRAD(Prostate Adenocarcinoma)"
"4313","36484954","Fear stress promotes glioma progression through inhibition of ferroptosis by enhancing FSP1 stability.","Fear Stress","promote","Glioma Progression","Fear Stress","Fear Stress","STIMULATES","Glioma Progression","Fear Stress"
"4314","36484954","Fear stress promotes glioma progression through inhibition of ferroptosis by enhancing FSP1 stability.","Fear Stress","inhibit","Ferroptosis","Fear Stress","Fear Stress","INHIBITS","Ferroptosis","Fear Stress"
"4315","36484954","Fear stress promotes glioma progression through inhibition of ferroptosis by enhancing FSP1 stability.","Fear Stress","enhance","FSP1","Fear Stress","Fear Stress","AUGMENTS","FSP1","Fear Stress"
"4316","36484954","Fear stress promotes glioma progression through inhibition of ferroptosis by enhancing FSP1 stability.","FSP1","inhibit","Ferroptosis","Fear Stress","FSP1","INHIBITS","Ferroptosis","Fear Stress"
"4318","36493511","KIAA1429 promotes tumorigenesis and gefitinib resistance in lung adenocarcinoma by activating the JNK/ MAPK pathway in an m6A-dependent manner.","KIAA1429","promote","tumorigenesis","Lung Adenocarcinoma","VIRMA","STIMULATES","Carcinogenesis","LUAD(Lung Adenocarcinoma)"
"4319","36493511","KIAA1429 promotes tumorigenesis and gefitinib resistance in lung adenocarcinoma by activating the JNK/ MAPK pathway in an m6A-dependent manner.","KIAA1429","promote","gefitinib resistance","Lung Adenocarcinoma","VIRMA","STIMULATES","Gefitinib Resistance","LUAD(Lung Adenocarcinoma)"
"4320","36493511","KIAA1429 promotes tumorigenesis and gefitinib resistance in lung adenocarcinoma by activating the JNK/ MAPK pathway in an m6A-dependent manner.","KIAA1429","activate","JNK/MAPK pathway","Lung Adenocarcinoma","VIRMA","STIMULATES","JNK/MAPK pathway","LUAD(Lung Adenocarcinoma)"
"4321","36493511","KIAA1429 promotes tumorigenesis and gefitinib resistance in lung adenocarcinoma by activating the JNK/ MAPK pathway in an m6A-dependent manner.","KIAA1429","regulate","m6A","Lung Adenocarcinoma","VIRMA","AFFECTS","m6A","LUAD(Lung Adenocarcinoma)"
"4322","36493511","KIAA1429 promotes tumorigenesis and gefitinib resistance in lung adenocarcinoma by activating the JNK/ MAPK pathway in an m6A-dependent manner.","JNK/MAPK pathway","regulate","tumorigenesis","Lung Adenocarcinoma","JNK/MAPK pathway","AFFECTS","Carcinogenesis","LUAD(Lung Adenocarcinoma)"
"4323","36493511","KIAA1429 promotes tumorigenesis and gefitinib resistance in lung adenocarcinoma by activating the JNK/ MAPK pathway in an m6A-dependent manner.","JNK/MAPK pathway","regulate","gefitinib resistance","Lung Adenocarcinoma","JNK/MAPK pathway","AFFECTS","Gefitinib Resistance","LUAD(Lung Adenocarcinoma)"
"4325","36512307","YBX1 regulates the survival of chronic myeloid leukemia stem cells by modulating m6A-mediated YWHAZ stability.","YBX1","regulate","Survival","Chronic Myeloid Leukemia Stem Cells","YBX1","AFFECTS","Survival","Chronic Myeloid Leukemia Stem Cells"
"4326","36512307","YBX1 regulates the survival of chronic myeloid leukemia stem cells by modulating m6A-mediated YWHAZ stability.","YBX1","modulate","m6A","Chronic Myeloid Leukemia Stem Cells","YBX1","AFFECTS","m6A","Chronic Myeloid Leukemia Stem Cells"
"4327","36512307","YBX1 regulates the survival of chronic myeloid leukemia stem cells by modulating m6A-mediated YWHAZ stability.","m6A","mediate","YWHAZ","Chronic Myeloid Leukemia Stem Cells","m6A","AFFECTS","YWHAZ","Chronic Myeloid Leukemia Stem Cells"
"4328","36512307","YBX1 regulates the survival of chronic myeloid leukemia stem cells by modulating m6A-mediated YWHAZ stability.","YWHAZ","regulate","Survival","Chronic Myeloid Leukemia Stem Cells","YWHAZ","AFFECTS","Survival","Chronic Myeloid Leukemia Stem Cells"
"4330","36513634","SMOC2 promotes aggressive behavior of fibroblast-like synoviocytes in rheumatoid arthritis through transcriptional and post-transcriptional regulating MYO1C.","SMOC2","promote","aggressive behavior of fibroblast-like synoviocytes","Rheumatoid Arthritis","SMOC2","STIMULATES","aggressive behavior of fibroblast-like synoviocytes","Arthritis, Rheumatoid"
"4331","36513634","SMOC2 promotes aggressive behavior of fibroblast-like synoviocytes in rheumatoid arthritis through transcriptional and post-transcriptional regulating MYO1C.","SMOC2","regulate","MYO1C","Rheumatoid Arthritis","SMOC2","AFFECTS","MYO1C","Arthritis, Rheumatoid"
"4332","36513634","SMOC2 promotes aggressive behavior of fibroblast-like synoviocytes in rheumatoid arthritis through transcriptional and post-transcriptional regulating MYO1C.","MYO1C","regulate","aggressive behavior of fibroblast-like synoviocytes","Rheumatoid Arthritis","MYO1C","AFFECTS","aggressive behavior of fibroblast-like synoviocytes","Arthritis, Rheumatoid"
"4334","36516773","Chromatin-associated YTHDC1 coordinates heat-induced reprogramming of gene expression.","YTHDC1","associate","Chromatin","Null","YTHDC1","ASSOCIATED_WITH","chromatin","Null"
"4335","36516773","Chromatin-associated YTHDC1 coordinates heat-induced reprogramming of gene expression.","YTHDC1","coordinate","reprogramming of gene expression","Null","YTHDC1","coordinate","reprogramming of gene expression","Null"
"4337","36517319","METTL3 and METTL14-mediated N6-methyladenosine modification promotes cell proliferation and invasion in a model of endometriosis.","METTL3","mediate","N6-methyladenosine modification","Model of endometriosis","METTL3","AFFECTS","m6A","Model of endometriosis"
"4338","36517319","METTL3 and METTL14-mediated N6-methyladenosine modification promotes cell proliferation and invasion in a model of endometriosis.","METTL14","mediate","N6-methyladenosine modification","Model of endometriosis","METTL14","AFFECTS","m6A","Model of endometriosis"
"4339","36517319","METTL3 and METTL14-mediated N6-methyladenosine modification promotes cell proliferation and invasion in a model of endometriosis.","N6-methyladenosine modification","promote","cell proliferation","Model of endometriosis","m6A","STIMULATES","cell population proliferation","Model of endometriosis"
"4340","36517319","METTL3 and METTL14-mediated N6-methyladenosine modification promotes cell proliferation and invasion in a model of endometriosis.","N6-methyladenosine modification","promote","cell invasion","Model of endometriosis","m6A","STIMULATES","cell invasion","Model of endometriosis"
"4342","36518278","METTL16-mediated translation of CIDEA promotes non-alcoholic fatty liver disease progression via m6A-dependent manner.","METTL16","translate","CIDEA","Non-alcoholic fatty liver disease","METTL16","translate","CIDEA","Non-alcoholic Fatty Liver Disease"
"4343","36518278","METTL16-mediated translation of CIDEA promotes non-alcoholic fatty liver disease progression via m6A-dependent manner.","CIDEA","promote","Progression","Non-alcoholic fatty liver disease","CIDEA","STIMULATES","progression","Non-alcoholic Fatty Liver Disease"
"4344","36518278","METTL16-mediated translation of CIDEA promotes non-alcoholic fatty liver disease progression via m6A-dependent manner.","METTL16","regulate","m6A","Non-alcoholic fatty liver disease","METTL16","AFFECTS","m6A","Non-alcoholic Fatty Liver Disease"
"4345","36518278","METTL16-mediated translation of CIDEA promotes non-alcoholic fatty liver disease progression via m6A-dependent manner.","m6A","regulate","Progression","Non-alcoholic fatty liver disease","m6A","AFFECTS","progression","Non-alcoholic Fatty Liver Disease"
"4347","36376862","The RNA demethylase ALKBH5 promotes the progression and angiogenesis of lung cancer by regulating the stability of the LncRNA PVT1.","ALKBH5","promote","Progression","Lung Cancer","ALKBH5","STIMULATES","progression","LUAD(Lung Adenocarcinoma)"
"4348","36376862","The RNA demethylase ALKBH5 promotes the progression and angiogenesis of lung cancer by regulating the stability of the LncRNA PVT1.","ALKBH5","promote","Angiogenesis","Lung Cancer","ALKBH5","STIMULATES","angiogenesis","LUAD(Lung Adenocarcinoma)"
"4349","36376862","The RNA demethylase ALKBH5 promotes the progression and angiogenesis of lung cancer by regulating the stability of the LncRNA PVT1.","ALKBH5","regulate","LncRNA PVT1","Lung Cancer","ALKBH5","AFFECTS","PVT1","LUAD(Lung Adenocarcinoma)"
"4350","36376862","The RNA demethylase ALKBH5 promotes the progression and angiogenesis of lung cancer by regulating the stability of the LncRNA PVT1.","LncRNA PVT1","regulate","Progression","Lung Cancer","PVT1","AFFECTS","progression","LUAD(Lung Adenocarcinoma)"
"4351","36376862","The RNA demethylase ALKBH5 promotes the progression and angiogenesis of lung cancer by regulating the stability of the LncRNA PVT1.","LncRNA PVT1","regulate","Angiogenesis","Lung Cancer","PVT1","AFFECTS","angiogenesis","LUAD(Lung Adenocarcinoma)"
"4353","36378581","Fat mass and obesity-associated protein alleviates Abeta1-40 induced retinal pigment epithelial cells degeneration via PKA/CREB signaling pathway.","Fat mass and obesity-associated protein","alleviate","Retinal Pigment Epithelial Cells Degeneration","Retinal Pigment Epithelial Cells","FTO","INHIBITS","Retinal Pigment Epithelial Cells Degeneration","Retinal Pigment Epithelial Cells"
"4354","36378581","Fat mass and obesity-associated protein alleviates Abeta1-40 induced retinal pigment epithelial cells degeneration via PKA/CREB signaling pathway.","Fat mass and obesity-associated protein","regulate","PKA/CREB","Retinal Pigment Epithelial Cells","FTO","AFFECTS","PKA/CREB","Retinal Pigment Epithelial Cells"
"4355","36378581","Fat mass and obesity-associated protein alleviates Abeta1-40 induced retinal pigment epithelial cells degeneration via PKA/CREB signaling pathway.","PKA/CREB","regulate","Retinal Pigment Epithelial Cells Degeneration","Retinal Pigment Epithelial Cells","PKA/CREB","AFFECTS","Retinal Pigment Epithelial Cells Degeneration","Retinal Pigment Epithelial Cells"
"4357","36380687","YTHDF3 mediates HNF1alpha regulation of cervical cancer radio-resistance by promoting RAD51D translation in an m6A-dependent manner.","YTHDF3","mediate","HNF1alpha","Cervical Cancer","YTHDF3","AFFECTS","HNF1A","CESC(Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma)"
"4358","36380687","YTHDF3 mediates HNF1alpha regulation of cervical cancer radio-resistance by promoting RAD51D translation in an m6A-dependent manner.","YTHDF3","promote","RAD51D","Cervical Cancer","YTHDF3","STIMULATES","RAD51D","CESC(Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma)"
"4359","36380687","YTHDF3 mediates HNF1alpha regulation of cervical cancer radio-resistance by promoting RAD51D translation in an m6A-dependent manner.","RAD51D","regulate","Radio-resistance","Cervical Cancer","RAD51D","AFFECTS","Radioresistance","CESC(Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma)"
"4360","36380687","YTHDF3 mediates HNF1alpha regulation of cervical cancer radio-resistance by promoting RAD51D translation in an m6A-dependent manner.","YTHDF3","depend on","m6A","Cervical Cancer","YTHDF3","INTERACTS_WITH","m6A","CESC(Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma)"
"4361","36380687","YTHDF3 mediates HNF1alpha regulation of cervical cancer radio-resistance by promoting RAD51D translation in an m6A-dependent manner.","m6A","regulate","RAD51D","Cervical Cancer","m6A","AFFECTS","RAD51D","CESC(Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma)"
"4363","36382943","Early recruitment of PARP-dependent m8A RNA methylation at DNA lesions is subsequently accompanied by active DNA demethylation.","PARP","regulate","m8A RNA methylation","Null","PARP1","AFFECTS","m8A","Null"
"4364","36382943","Early recruitment of PARP-dependent m8A RNA methylation at DNA lesions is subsequently accompanied by active DNA demethylation.","m8A RNA methylation","recruit","DNA lesions","Null","m8A","recruit","dna lesions","Null"
"4365","36382943","Early recruitment of PARP-dependent m8A RNA methylation at DNA lesions is subsequently accompanied by active DNA demethylation.","DNA demethylation","accompany","DNA lesions","Null","DNA demethylation","COEXISTS_WITH","dna lesions","Null"
"4366","36382943","Early recruitment of PARP-dependent m8A RNA methylation at DNA lesions is subsequently accompanied by active DNA demethylation.","m8A RNA methylation","regulate","DNA demethylation","Null","m8A","AFFECTS","DNA demethylation","Null"
"4368","36384975","LncRNA Airn alleviates diabetic cardiac fibrosis by inhibiting activation of cardiac fibroblasts via a m6A-IMP2-p53 axis.","LncRNA Airn","alleviate","Cardiac Fibrosis","Diabetic Cardiac Fibrosis","AIRN","INHIBITS","Cardiac Fibrosis","Diabetic Cardiac Fibrosis"
"4369","36384975","LncRNA Airn alleviates diabetic cardiac fibrosis by inhibiting activation of cardiac fibroblasts via a m6A-IMP2-p53 axis.","LncRNA Airn","regulate","m6A-IMP2-p53 axis","Diabetic Cardiac Fibrosis","AIRN","AFFECTS","m6A-IMP2-p53 axis","Diabetic Cardiac Fibrosis"
"4370","36384975","LncRNA Airn alleviates diabetic cardiac fibrosis by inhibiting activation of cardiac fibroblasts via a m6A-IMP2-p53 axis.","m6A-IMP2-p53 axis","inhibit","Cardiac Fibroblasts","Diabetic Cardiac Fibrosis","m6A-IMP2-p53 axis","INHIBITS","Cardiac Fibroblasts","Diabetic Cardiac Fibrosis"
"4371","36384975","LncRNA Airn alleviates diabetic cardiac fibrosis by inhibiting activation of cardiac fibroblasts via a m6A-IMP2-p53 axis.","Cardiac Fibroblasts","contribute to","Cardiac Fibrosis","Diabetic Cardiac Fibrosis","Cardiac Fibroblasts","CAUSES","Cardiac Fibrosis","Diabetic Cardiac Fibrosis"
"4373","36386128","METTL3/m6A/IFIT2 regulates proliferation, invasion and immunity in esophageal squamous cell carcinoma.","METTL3","regulate","m6A","Esophageal Squamous Cell Carcinoma","METTL3","AFFECTS","m6A","ESCA(Esophageal Carcinoma)"
"4374","36386128","METTL3/m6A/IFIT2 regulates proliferation, invasion and immunity in esophageal squamous cell carcinoma.","m6A","regulate","IFIT2","Esophageal Squamous Cell Carcinoma","m6A","AFFECTS","IFIT2","ESCA(Esophageal Carcinoma)"
"4375","36386128","METTL3/m6A/IFIT2 regulates proliferation, invasion and immunity in esophageal squamous cell carcinoma.","IFIT2","regulate","proliferation","Esophageal Squamous Cell Carcinoma","IFIT2","AFFECTS","cell population proliferation","ESCA(Esophageal Carcinoma)"
"4376","36386128","METTL3/m6A/IFIT2 regulates proliferation, invasion and immunity in esophageal squamous cell carcinoma.","IFIT2","regulate","invasion","Esophageal Squamous Cell Carcinoma","IFIT2","AFFECTS","Neoplasm Invasiveness","ESCA(Esophageal Carcinoma)"
"4378","36387210","WFDC21P promotes triple-negative breast cancer proliferation and migration through WFDC21P/miR-628/SMAD3 axis.","WFDC21P","promote","Proliferation","Triple-negative breast cancer","WFDC21P","STIMULATES","cell population proliferation","BRCA(Breast Invasive Carcinoma)"
"4379","36387210","WFDC21P promotes triple-negative breast cancer proliferation and migration through WFDC21P/miR-628/SMAD3 axis.","WFDC21P","promote","Migration","Triple-negative breast cancer","WFDC21P","STIMULATES","migration","BRCA(Breast Invasive Carcinoma)"
"4380","36387210","WFDC21P promotes triple-negative breast cancer proliferation and migration through WFDC21P/miR-628/SMAD3 axis.","WFDC21P","regulate","WFDC21P/miR-628/SMAD3 axis","Triple-negative breast cancer","WFDC21P","AFFECTS","WFDC21P/miR-628/SMAD3 axis","BRCA(Breast Invasive Carcinoma)"
"4381","36387210","WFDC21P promotes triple-negative breast cancer proliferation and migration through WFDC21P/miR-628/SMAD3 axis.","WFDC21P/miR-628/SMAD3 axis","regulate","Proliferation","Triple-negative breast cancer","WFDC21P/miR-628/SMAD3 axis","AFFECTS","cell population proliferation","BRCA(Breast Invasive Carcinoma)"
"4382","36387210","WFDC21P promotes triple-negative breast cancer proliferation and migration through WFDC21P/miR-628/SMAD3 axis.","WFDC21P/miR-628/SMAD3 axis","regulate","Migration","Triple-negative breast cancer","WFDC21P/miR-628/SMAD3 axis","AFFECTS","migration","BRCA(Breast Invasive Carcinoma)"
"4384","36397058","N6-methyladenosine-mediated SH3BP5-AS1 upregulation promotes GEM chemoresistance in pancreatic cancer by activating the Wnt signaling pathway.","N6-methyladenosine","mediate","SH3BP5-AS1","Pancreatic Cancer","m6A","AFFECTS","SH3BP5-AS1","PAAD(Pancreatic Adenocarcinoma)"
"4385","36397058","N6-methyladenosine-mediated SH3BP5-AS1 upregulation promotes GEM chemoresistance in pancreatic cancer by activating the Wnt signaling pathway.","SH3BP5-AS1","upregulate","GEM chemoresistance","Pancreatic Cancer","SH3BP5-AS1","STIMULATES","GEM chemoresistance","PAAD(Pancreatic Adenocarcinoma)"
"4386","36397058","N6-methyladenosine-mediated SH3BP5-AS1 upregulation promotes GEM chemoresistance in pancreatic cancer by activating the Wnt signaling pathway.","SH3BP5-AS1","activate","Wnt signaling pathway","Pancreatic Cancer","SH3BP5-AS1","STIMULATES","Wnt signaling pathway","PAAD(Pancreatic Adenocarcinoma)"
"4387","36397058","N6-methyladenosine-mediated SH3BP5-AS1 upregulation promotes GEM chemoresistance in pancreatic cancer by activating the Wnt signaling pathway.","Wnt signaling pathway","promote","GEM chemoresistance","Pancreatic Cancer","Wnt signaling pathway","STIMULATES","GEM chemoresistance","PAAD(Pancreatic Adenocarcinoma)"
"4389","36397699","N6-Methyladenosine modification (m6A) of circRNA-ZNF638 contributes the induced activation of SHF stem cells through miR-361-5p/Wnt5a axis in cashmere goats.","m6A","is on","circRNA-ZNF638","SHF stem cells of cashmere goats","m6A","LOCATES","circRNA-ZNF638","SHF stem cells of cashmere goats"
"4390","36397699","N6-Methyladenosine modification (m6A) of circRNA-ZNF638 contributes the induced activation of SHF stem cells through miR-361-5p/Wnt5a axis in cashmere goats.","circRNA-ZNF638","contribute to","activation","SHF stem cells of cashmere goats","circRNA-ZNF638","CAUSES","activation","SHF stem cells of cashmere goats"
"4391","36397699","N6-Methyladenosine modification (m6A) of circRNA-ZNF638 contributes the induced activation of SHF stem cells through miR-361-5p/Wnt5a axis in cashmere goats.","circRNA-ZNF638","through","miR-361-5p/Wnt5a axis","SHF stem cells of cashmere goats","circRNA-ZNF638","through","miR-361-5p/Wnt5a axis","SHF stem cells of cashmere goats"
"4392","36397699","N6-Methyladenosine modification (m6A) of circRNA-ZNF638 contributes the induced activation of SHF stem cells through miR-361-5p/Wnt5a axis in cashmere goats.","miR-361-5p/Wnt5a axis","regulate","activation","SHF stem cells of cashmere goats","miR-361-5p/Wnt5a axis","AFFECTS","activation","SHF stem cells of cashmere goats"
"4394","36399125","Mettl3-mediated m6A modification of Fgf16 restricts cardiomyocyte proliferation during heart regeneration.","Mettl3","mediate","m6A","Heart Regeneration","METTL3","AFFECTS","m6A","Heart Regeneration"
"4395","36399125","Mettl3-mediated m6A modification of Fgf16 restricts cardiomyocyte proliferation during heart regeneration.","m6A","modify","Fgf16","Heart Regeneration","m6A","AFFECTS","FGF16","Heart Regeneration"
"4396","36399125","Mettl3-mediated m6A modification of Fgf16 restricts cardiomyocyte proliferation during heart regeneration.","Fgf16","restrict","Cardiomyocyte Proliferation","Heart Regeneration","FGF16","restrict","cardiac muscle cell proliferation","Heart Regeneration"
"4398","36399511","METTL3-mediated m6A modification stabilizes TERRA and maintains telomere stability.","METTL3","mediate","m6A modification","Null","METTL3","AFFECTS","m6A","Null"
"4399","36399511","METTL3-mediated m6A modification stabilizes TERRA and maintains telomere stability.","m6A modification","stabilize","TERRA","Null","m6A","MAINTAINS","TERRA","Null"
